,Name,Session Number,Person Number,Start Frame,label
128,01_3,01,3,6451,1
129,01_3,01,3,6842,1
130,01_3,01,3,7194,1
131,01_3,01,3,7358,1
132,01_3,01,3,7940,1
133,01_3,01,3,8557,1
134,01_3,01,3,9042,1
135,01_3,01,3,9492,1
136,01_3,01,3,10529,1
137,01_3,01,3,12120,1
138,01_3,01,3,12792,1
139,01_3,01,3,13302,1
140,01_3,01,3,14400,1
141,01_3,01,3,15528,1
142,01_3,01,3,16166,1
143,01_3,01,3,16498,1
144,01_3,01,3,17745,1
145,01_3,01,3,18658,1
146,01_3,01,3,19008,1
147,01_3,01,3,20642,1
148,01_3,01,3,22298,1
149,01_3,01,3,22797,1
150,01_3,01,3,22896,1
151,01_3,01,3,23845,1
152,01_3,01,3,25720,1
153,01_3,01,3,25934,1
154,01_3,01,3,27181,1
155,01_3,01,3,28974,1
156,01_3,01,3,29715,1
157,01_3,01,3,32445,1
158,01_3,01,3,32584,1
159,01_3,01,3,32976,1
160,01_3,01,3,33563,1
161,01_3,01,3,33811,1
162,01_3,01,3,34732,1
163,01_3,01,3,34902,1
164,01_3,01,3,36071,1
165,01_3,01,3,36900,1
166,01_3,01,3,37555,1
167,01_3,01,3,38976,1
168,01_3,01,3,40452,1
169,01_3,01,3,42685,1
170,01_3,01,3,44581,1
171,01_3,01,3,45772,1
172,01_3,01,3,46998,1
173,01_3,01,3,49747,1
174,01_3,01,3,50083,1
175,01_3,01,3,51233,1
176,01_3,01,3,51703,1
177,01_3,01,3,52011,1
178,01_3,01,3,52475,1
179,01_3,01,3,53913,1
180,01_3,01,3,54098,1
181,01_3,01,3,54352,1
182,01_3,01,3,54423,1
183,02_1,02,1,470,1
184,02_1,02,1,1236,1
185,02_1,02,1,2596,1
186,02_1,02,1,3280,1
187,02_1,02,1,3934,1
188,02_1,02,1,6053,1
189,02_1,02,1,7115,1
190,02_1,02,1,7534,1
191,02_1,02,1,8424,1
192,02_1,02,1,9707,1
193,02_1,02,1,11947,1
194,02_1,02,1,12727,1
195,02_1,02,1,19330,1
196,02_1,02,1,19424,1
197,02_1,02,1,19613,1
198,02_1,02,1,19958,1
199,02_1,02,1,20245,1
200,02_1,02,1,20444,1
201,02_2,02,2,933,1
202,02_2,02,2,1115,1
203,02_2,02,2,1554,1
204,02_2,02,2,1860,1
205,02_2,02,2,2571,1
206,02_2,02,2,3623,1
207,02_2,02,2,4370,1
208,02_2,02,2,4735,1
209,02_2,02,2,4868,1
210,02_2,02,2,5452,1
211,02_2,02,2,6085,1
212,02_2,02,2,6301,1
213,02_2,02,2,6611,1
214,02_2,02,2,6895,1
215,02_2,02,2,7683,1
216,02_2,02,2,8099,1
217,02_2,02,2,8521,1
218,02_2,02,2,9201,1
219,02_2,02,2,9994,1
220,02_2,02,2,10407,1
221,02_2,02,2,10526,1
222,02_2,02,2,11312,1
223,02_2,02,2,12713,1
224,02_2,02,2,13088,1
225,02_2,02,2,13394,1
226,02_2,02,2,14065,1
227,02_2,02,2,15093,1
228,02_2,02,2,16836,1
229,02_2,02,2,17236,1
230,02_2,02,2,17803,1
231,02_2,02,2,18155,1
232,02_2,02,2,18591,1
233,02_2,02,2,19412,1
234,02_2,02,2,20019,1
235,02_2,02,2,20439,1
236,02_2,02,2,20678,1
237,02_2,02,2,21415,1
238,02_2,02,2,21834,1
239,02_2,02,2,22339,1
240,02_2,02,2,23452,1
241,02_2,02,2,23931,1
242,02_2,02,2,24499,1
243,02_2,02,2,24803,1
244,02_2,02,2,25288,1
245,02_2,02,2,25650,1
246,02_2,02,2,26588,1
247,02_2,02,2,27618,1
248,02_2,02,2,28304,1
249,02_2,02,2,28621,1
250,02_2,02,2,28740,1
251,02_2,02,2,29944,1
252,02_2,02,2,30199,1
253,02_2,02,2,33244,1
254,02_2,02,2,33718,1
255,02_2,02,2,35065,1
256,02_2,02,2,35226,1
257,02_2,02,2,38033,1
258,02_2,02,2,40145,1
259,02_2,02,2,43147,1
260,02_2,02,2,45090,1
261,02_2,02,2,45215,1
262,02_2,02,2,48402,1
263,02_3,02,3,4343,1
264,02_3,02,3,4712,1
265,02_3,02,3,4994,1
266,02_3,02,3,5088,1
267,02_3,02,3,5424,1
268,02_3,02,3,5897,1
269,02_3,02,3,6112,1
270,02_3,02,3,8199,1
271,02_3,02,3,8483,1
272,02_3,02,3,8748,1
273,02_3,02,3,8957,1
274,02_3,02,3,10879,1
275,02_3,02,3,11365,1
276,02_3,02,3,12065,1
277,02_3,02,3,12844,1
278,02_3,02,3,13942,1
279,02_3,02,3,14958,1
280,02_3,02,3,15624,1
281,02_3,02,3,15975,1
282,02_3,02,3,16296,1
283,02_3,02,3,17114,1
284,02_3,02,3,17347,1
285,02_3,02,3,17542,1
286,02_3,02,3,18172,1
287,02_3,02,3,18502,1
288,02_3,02,3,18635,1
289,02_3,02,3,19019,1
290,02_3,02,3,19209,1
291,02_3,02,3,21283,1
292,02_3,02,3,21565,1
293,02_3,02,3,22041,1
294,02_3,02,3,22361,1
295,02_3,02,3,22823,1
296,02_3,02,3,22962,1
297,02_3,02,3,25397,1
298,02_3,02,3,26825,1
299,02_3,02,3,27142,1
300,02_3,02,3,28698,1
301,02_3,02,3,29139,1
302,02_3,02,3,29400,1
303,02_3,02,3,29718,1
304,02_3,02,3,33573,1
305,02_3,02,3,33708,1
306,02_3,02,3,33897,1
307,02_3,02,3,34262,1
308,02_3,02,3,34632,1
309,02_3,02,3,34866,1
310,02_3,02,3,35333,1
311,02_3,02,3,37872,1
312,02_3,02,3,38348,1
313,02_3,02,3,38536,1
314,02_3,02,3,38720,1
315,02_3,02,3,40975,1
316,02_3,02,3,41577,1
317,02_3,02,3,42646,1
318,02_3,02,3,43514,1
319,02_3,02,3,44656,1
320,02_3,02,3,45079,1
321,02_3,02,3,45502,1
322,02_3,02,3,46083,1
323,02_3,02,3,46365,1
324,02_3,02,3,46593,1
325,02_3,02,3,46945,1
326,02_3,02,3,48801,1
327,02_3,02,3,49243,1
328,02_3,02,3,50387,1
329,02_3,02,3,51581,1
330,02_3,02,3,54044,1
331,02_3,02,3,54497,1
332,02_3,02,3,55605,1
333,02_3,02,3,55816,1
334,02_3,02,3,56975,1
335,03_1,03,1,1150,1
336,03_1,03,1,2356,1
337,03_1,03,1,3027,1
338,03_1,03,1,3597,1
339,03_1,03,1,4157,1
340,03_1,03,1,4527,1
341,03_1,03,1,5042,1
342,03_1,03,1,6530,1
343,03_1,03,1,7668,1
344,03_1,03,1,8297,1
345,03_1,03,1,8851,1
346,03_1,03,1,9199,1
347,03_1,03,1,12044,1
348,03_1,03,1,12820,1
349,03_1,03,1,13914,1
350,03_1,03,1,14689,1
351,03_1,03,1,15060,1
352,03_1,03,1,15689,1
353,03_1,03,1,16150,1
354,03_1,03,1,16604,1
355,03_1,03,1,16705,1
356,03_1,03,1,16998,1
357,03_1,03,1,18038,1
358,03_1,03,1,18120,1
359,03_1,03,1,18210,1
360,03_1,03,1,18777,1
361,03_1,03,1,19290,1
362,03_1,03,1,19310,1
363,03_1,03,1,20231,1
364,03_1,03,1,20504,1
365,03_1,03,1,21368,1
366,03_1,03,1,21847,1
367,03_1,03,1,22973,1
368,03_1,03,1,23132,1
369,03_1,03,1,23622,1
370,03_1,03,1,24020,1
371,03_1,03,1,24608,1
372,03_1,03,1,24984,1
373,03_1,03,1,25435,1
374,03_1,03,1,26036,1
375,03_1,03,1,26416,1
376,03_1,03,1,26524,1
377,03_2,03,2,-29,1
378,03_2,03,2,214,1
379,03_2,03,2,675,1
380,03_2,03,2,1467,1
381,03_2,03,2,1706,1
382,03_2,03,2,2148,1
383,03_2,03,2,3079,1
384,03_2,03,2,4167,1
385,03_2,03,2,4661,1
386,03_2,03,2,5590,1
387,03_2,03,2,5783,1
388,03_2,03,2,6006,1
389,03_2,03,2,6757,1
390,03_2,03,2,7349,1
391,03_2,03,2,9519,1
392,03_2,03,2,9734,1
393,03_2,03,2,10324,1
394,03_2,03,2,10993,1
395,03_2,03,2,11902,1
396,03_2,03,2,12093,1
397,03_2,03,2,12465,1
398,03_2,03,2,12635,1
399,03_2,03,2,12865,1
400,03_2,03,2,13199,1
401,03_2,03,2,13450,1
402,03_2,03,2,13840,1
403,03_2,03,2,15427,1
404,03_2,03,2,15915,1
405,03_2,03,2,16181,1
406,03_2,03,2,16596,1
407,03_2,03,2,16858,1
408,03_2,03,2,17110,1
409,03_2,03,2,17328,1
410,03_2,03,2,17593,1
411,03_2,03,2,17945,1
412,03_2,03,2,18350,1
413,03_2,03,2,19651,1
414,03_2,03,2,20186,1
415,03_2,03,2,20512,1
416,03_2,03,2,21365,1
417,03_2,03,2,21655,1
418,03_2,03,2,21830,1
419,03_2,03,2,22298,1
420,03_2,03,2,22905,1
421,03_2,03,2,23637,1
422,03_2,03,2,25040,1
423,03_2,03,2,25356,1
424,03_2,03,2,25744,1
425,03_2,03,2,26069,1
426,03_2,03,2,26436,1
427,03_2,03,2,26884,1
428,03_2,03,2,28051,1
429,03_2,03,2,28675,1
430,03_2,03,2,30051,1
431,03_2,03,2,30393,1
432,03_2,03,2,31675,1
433,03_2,03,2,32158,1
434,03_2,03,2,33237,1
435,03_2,03,2,34970,1
436,03_2,03,2,36994,1
437,03_2,03,2,37588,1
438,03_2,03,2,38693,1
439,03_2,03,2,39069,1
440,03_2,03,2,39680,1
441,03_2,03,2,40077,1
442,03_2,03,2,40846,1
443,03_2,03,2,41164,1
444,03_2,03,2,41840,1
445,03_2,03,2,42266,1
446,03_2,03,2,42846,1
447,03_2,03,2,43773,1
448,03_2,03,2,44299,1
449,03_2,03,2,44667,1
450,03_2,03,2,45605,1
451,03_2,03,2,46229,1
452,03_2,03,2,46784,1
453,03_2,03,2,46949,1
454,03_2,03,2,47131,1
455,03_2,03,2,47668,1
456,03_3,03,3,124,1
457,03_3,03,3,737,1
458,03_3,03,3,1166,1
459,03_3,03,3,1619,1
460,03_3,03,3,2121,1
461,03_3,03,3,2692,1
462,03_3,03,3,2962,1
463,03_3,03,3,3454,1
464,03_3,03,3,4034,1
465,03_3,03,3,4264,1
466,03_3,03,3,4820,1
467,03_3,03,3,5120,1
468,03_3,03,3,5537,1
469,03_3,03,3,6195,1
470,03_3,03,3,6616,1
471,03_3,03,3,6750,1
472,03_3,03,3,7291,1
473,03_3,03,3,7852,1
474,03_3,03,3,8350,1
475,03_3,03,3,8847,1
476,03_3,03,3,9586,1
477,03_3,03,3,10073,1
478,03_3,03,3,10508,1
479,03_3,03,3,10997,1
480,03_3,03,3,11573,1
481,03_3,03,3,12122,1
482,03_3,03,3,12441,1
483,03_3,03,3,12688,1
484,03_3,03,3,12893,1
485,03_3,03,3,13106,1
486,03_3,03,3,13315,1
487,03_3,03,3,13687,1
488,03_3,03,3,14231,1
489,03_3,03,3,14881,1
490,03_3,03,3,15204,1
491,03_3,03,3,16589,1
492,03_3,03,3,16649,1
493,03_3,03,3,16920,1
494,04_1,04,1,132,1
495,04_1,04,1,957,1
496,04_1,04,1,1086,1
497,04_1,04,1,1707,1
498,04_1,04,1,3234,1
499,04_1,04,1,4938,1
500,04_1,04,1,5482,1
501,04_1,04,1,6452,1
502,04_1,04,1,6897,1
503,04_1,04,1,7344,1
504,04_1,04,1,8001,1
505,04_1,04,1,8167,1
506,04_1,04,1,8737,1
507,04_1,04,1,8790,1
508,04_1,04,1,8906,1
509,04_1,04,1,9210,1
510,04_1,04,1,9513,1
511,04_1,04,1,10236,1
512,04_1,04,1,10448,1
513,04_1,04,1,11102,1
514,04_1,04,1,11413,1
515,04_1,04,1,11849,1
516,04_1,04,1,12283,1
517,04_1,04,1,12610,1
518,04_1,04,1,12956,1
519,04_1,04,1,13518,1
520,04_1,04,1,13979,1
521,04_1,04,1,16027,1
522,04_1,04,1,16363,1
523,04_1,04,1,17187,1
524,04_1,04,1,18128,1
525,04_1,04,1,18793,1
526,04_1,04,1,19136,1
527,04_1,04,1,19610,1
528,04_1,04,1,19853,1
529,04_1,04,1,20289,1
530,04_1,04,1,21060,1
531,04_1,04,1,21525,1
532,04_1,04,1,21690,1
533,04_1,04,1,22154,1
534,04_1,04,1,22374,1
535,04_1,04,1,23256,1
536,04_1,04,1,24500,1
537,04_1,04,1,24635,1
538,04_1,04,1,25177,1
539,04_1,04,1,25689,1
540,04_1,04,1,25801,1
541,04_1,04,1,29818,1
542,04_1,04,1,30159,1
543,04_1,04,1,35112,1
544,04_1,04,1,35814,1
545,04_1,04,1,36449,1
546,04_1,04,1,36678,1
547,04_1,04,1,40241,1
548,04_1,04,1,41210,1
549,04_1,04,1,41958,1
550,04_1,04,1,42431,1
551,04_1,04,1,43553,1
552,04_1,04,1,43775,1
553,04_1,04,1,44588,1
554,04_1,04,1,44727,1
555,04_1,04,1,45136,1
556,04_1,04,1,46205,1
557,04_1,04,1,46325,1
558,04_1,04,1,46553,1
559,04_1,04,1,47746,1
560,04_1,04,1,48235,1
561,04_1,04,1,52513,1
562,04_1,04,1,52783,1
563,04_1,04,1,53670,1
564,04_1,04,1,53837,1
565,04_1,04,1,54012,1
566,04_1,04,1,55413,1
567,04_1,04,1,55526,1
568,04_1,04,1,55696,1
569,04_1,04,1,55872,1
570,04_1,04,1,56871,1
571,04_1,04,1,57087,1
572,04_1,04,1,57866,1
573,04_1,04,1,58109,1
574,04_1,04,1,58244,1
575,04_1,04,1,58355,1
576,04_2,04,2,1903,1
577,04_2,04,2,2173,1
578,04_2,04,2,2699,1
579,04_2,04,2,3304,1
580,04_2,04,2,3887,1
581,04_2,04,2,4287,1
582,04_2,04,2,4739,1
583,04_2,04,2,5077,1
584,04_2,04,2,5570,1
585,04_2,04,2,5891,1
586,04_2,04,2,6380,1
587,04_2,04,2,6845,1
588,04_2,04,2,8592,1
589,04_2,04,2,9894,1
590,04_2,04,2,10570,1
591,04_2,04,2,12546,1
592,04_2,04,2,13537,1
593,04_2,04,2,13983,1
594,04_2,04,2,14939,1
595,04_2,04,2,15487,1
596,04_2,04,2,15946,1
597,04_2,04,2,16507,1
598,04_2,04,2,17355,1
599,04_2,04,2,18641,1
600,04_2,04,2,19482,1
601,04_2,04,2,19886,1
602,04_2,04,2,20359,1
603,04_2,04,2,21913,1
604,04_2,04,2,24357,1
605,04_2,04,2,24520,1
606,04_2,04,2,25250,1
607,04_2,04,2,25354,1
608,04_2,04,2,25662,1
609,04_2,04,2,25858,1
610,04_2,04,2,26035,1
611,04_2,04,2,26186,1
612,04_2,04,2,26345,1
613,04_2,04,2,30280,1
614,04_2,04,2,30405,1
615,04_2,04,2,30568,1
616,04_2,04,2,30674,1
617,04_2,04,2,30850,1
618,04_2,04,2,31022,1
619,04_2,04,2,31121,1
620,04_2,04,2,31350,1
621,04_2,04,2,31467,1
622,04_2,04,2,31580,1
623,04_2,04,2,31684,1
624,04_2,04,2,31791,1
625,04_2,04,2,31903,1
626,04_2,04,2,31987,1
627,04_2,04,2,32081,1
628,04_2,04,2,32201,1
629,04_2,04,2,32284,1
630,04_2,04,2,32331,1
631,04_2,04,2,32383,1
632,04_2,04,2,49831,1
633,04_3,04,3,1127,1
634,04_3,04,3,1419,1
635,04_3,04,3,1673,1
636,04_3,04,3,2251,1
637,04_3,04,3,2883,1
638,04_3,04,3,3218,1
639,04_3,04,3,3675,1
640,04_3,04,3,4142,1
641,04_3,04,3,4663,1
642,04_3,04,3,5025,1
643,04_3,04,3,5664,1
644,04_3,04,3,6266,1
645,04_3,04,3,6522,1
646,04_3,04,3,6717,1
647,04_3,04,3,6879,1
648,04_3,04,3,7544,1
649,04_3,04,3,7770,1
650,04_3,04,3,8195,1
651,04_3,04,3,8510,1
652,04_3,04,3,8786,1
653,04_3,04,3,9353,1
654,04_3,04,3,9583,1
655,04_3,04,3,10009,1
656,04_3,04,3,10715,1
657,04_3,04,3,11153,1
658,04_3,04,3,11510,1
659,04_3,04,3,12006,1
660,04_3,04,3,12458,1
661,04_3,04,3,12733,1
662,04_3,04,3,13064,1
663,04_3,04,3,13338,1
664,04_3,04,3,13708,1
665,04_3,04,3,14247,1
666,04_3,04,3,14855,1
667,04_3,04,3,15160,1
668,04_3,04,3,15455,1
669,04_3,04,3,15998,1
670,04_3,04,3,17224,1
671,04_3,04,3,17682,1
672,04_3,04,3,18274,1
673,04_3,04,3,18924,1
674,04_3,04,3,19525,1
675,04_3,04,3,19972,1
676,04_3,04,3,20277,1
677,04_3,04,3,20431,1
678,04_3,04,3,20993,1
679,04_3,04,3,21258,1
680,04_3,04,3,21579,1
681,04_3,04,3,22026,1
682,04_3,04,3,22668,1
683,04_3,04,3,22896,1
684,04_3,04,3,23570,1
685,04_3,04,3,24448,1
686,04_3,04,3,24783,1
687,04_3,04,3,25426,1
688,04_3,04,3,25720,1
689,04_3,04,3,26229,1
690,04_3,04,3,26361,1
691,04_3,04,3,26503,1
692,04_3,04,3,26920,1
693,04_3,04,3,27243,1
694,04_3,04,3,27573,1
695,04_3,04,3,27827,1
696,04_3,04,3,28073,1
697,04_3,04,3,28429,1
698,04_3,04,3,28891,1
699,04_3,04,3,29146,1
700,04_3,04,3,29369,1
701,04_3,04,3,29480,1
702,04_3,04,3,29815,1
703,04_3,04,3,30599,1
704,04_3,04,3,30773,1
705,04_3,04,3,30920,1
706,04_3,04,3,31211,1
707,04_3,04,3,31460,1
708,04_3,04,3,31769,1
709,04_3,04,3,32033,1
710,04_3,04,3,32221,1
711,04_3,04,3,32422,1
712,04_3,04,3,32609,1
713,04_3,04,3,32803,1
714,04_3,04,3,33091,1
715,04_3,04,3,33244,1
716,04_3,04,3,33540,1
717,04_3,04,3,33877,1
718,04_3,04,3,34169,1
719,04_3,04,3,34361,1
720,04_3,04,3,35209,1
721,04_3,04,3,36529,1
722,04_3,04,3,37395,1
723,04_3,04,3,37497,1
724,04_3,04,3,38243,1
725,04_3,04,3,38706,1
726,04_3,04,3,39347,1
727,04_3,04,3,39536,1
728,04_3,04,3,40016,1
729,04_3,04,3,40352,1
730,04_3,04,3,40613,1
731,04_3,04,3,40793,1
732,04_3,04,3,41141,1
733,04_3,04,3,41642,1
734,04_3,04,3,41768,1
735,04_3,04,3,41944,1
736,04_3,04,3,42209,1
737,04_3,04,3,42352,1
738,04_3,04,3,42588,1
739,04_3,04,3,42752,1
740,04_3,04,3,43090,1
741,04_3,04,3,43290,1
742,04_3,04,3,43518,1
743,04_3,04,3,43725,1
744,04_3,04,3,44046,1
745,04_3,04,3,45347,1
746,04_3,04,3,45711,1
747,04_3,04,3,45940,1
748,04_3,04,3,46353,1
749,04_3,04,3,46642,1
750,04_3,04,3,47214,1
751,04_3,04,3,47569,1
752,04_3,04,3,47939,1
753,04_3,04,3,48292,1
754,04_3,04,3,49219,1
755,04_3,04,3,49361,1
756,04_3,04,3,49733,1
757,04_3,04,3,49819,1
758,04_3,04,3,49947,1
759,04_3,04,3,50139,1
760,04_3,04,3,50257,1
761,04_3,04,3,50354,1
762,04_3,04,3,50535,1
763,04_3,04,3,50811,1
764,04_3,04,3,51028,1
765,04_3,04,3,51129,1
766,04_3,04,3,51266,1
767,04_3,04,3,51354,1
768,05_1,05,1,7006,1
769,05_1,05,1,7100,1
770,05_1,05,1,7986,1
771,05_1,05,1,8491,1
772,05_1,05,1,11111,1
773,05_1,05,1,11328,1
774,05_1,05,1,11760,1
775,05_1,05,1,15089,1
776,05_1,05,1,15638,1
777,05_1,05,1,17405,1
778,05_1,05,1,17903,1
779,05_1,05,1,18648,1
780,05_1,05,1,23787,1
781,05_1,05,1,26860,1
782,05_1,05,1,33541,1
783,05_1,05,1,41813,1
784,05_2,05,2,6872,1
785,05_2,05,2,8102,1
786,05_2,05,2,9305,1
787,05_2,05,2,9739,1
788,05_2,05,2,10323,1
789,05_2,05,2,11516,1
790,05_2,05,2,14474,1
791,05_2,05,2,14870,1
792,05_2,05,2,23208,1
793,05_2,05,2,25818,1
794,05_2,05,2,33504,1
795,05_2,05,2,36651,1
796,05_3,05,3,6830,1
797,05_3,05,3,10163,1
798,05_3,05,3,12938,1
799,05_3,05,3,15774,1
800,05_3,05,3,22771,1
801,05_3,05,3,33322,1
802,05_3,05,3,33888,1
803,05_3,05,3,37024,1
804,05_3,05,3,47227,1
805,05_3,05,3,48852,1
806,06_1,06,1,795,1
807,06_1,06,1,1144,1
808,06_1,06,1,1716,1
809,06_1,06,1,2483,1
810,06_1,06,1,3081,1
811,06_1,06,1,3619,1
812,06_1,06,1,4230,1
813,06_1,06,1,4743,1
814,06_1,06,1,5760,1
815,06_1,06,1,6744,1
816,06_1,06,1,7505,1
817,06_1,06,1,9670,1
818,06_1,06,1,9778,1
819,06_1,06,1,11392,1
820,06_1,06,1,11577,1
821,06_1,06,1,14021,1
822,06_1,06,1,15010,1
823,06_1,06,1,15835,1
824,06_1,06,1,16149,1
825,06_1,06,1,16585,1
826,06_1,06,1,17752,1
827,06_1,06,1,19002,1
828,06_1,06,1,20934,1
829,06_1,06,1,21215,1
830,06_1,06,1,25559,1
831,06_1,06,1,26294,1
832,06_1,06,1,35978,1
833,06_1,06,1,36384,1
834,06_1,06,1,36796,1
835,06_1,06,1,37020,1
836,06_1,06,1,37311,1
837,06_1,06,1,38021,1
838,06_1,06,1,38126,1
839,06_1,06,1,38327,1
840,06_1,06,1,45539,1
841,06_1,06,1,46160,1
842,06_1,06,1,46383,1
843,06_1,06,1,46795,1
844,06_2,06,2,944,1
845,06_2,06,2,1260,1
846,06_2,06,2,1458,1
847,06_2,06,2,2787,1
848,06_2,06,2,3227,1
849,06_2,06,2,3853,1
850,06_2,06,2,4580,1
851,06_2,06,2,4758,1
852,06_2,06,2,5547,1
853,06_2,06,2,10687,1
854,06_2,06,2,10867,1
855,06_2,06,2,11210,1
856,06_2,06,2,12705,1
857,06_2,06,2,13299,1
858,06_2,06,2,13547,1
859,06_2,06,2,13972,1
860,06_2,06,2,14364,1
861,06_2,06,2,15114,1
862,06_2,06,2,15298,1
863,06_2,06,2,15827,1
864,06_2,06,2,16030,1
865,06_2,06,2,16425,1
866,06_2,06,2,16778,1
867,06_2,06,2,17041,1
868,06_2,06,2,17375,1
869,06_2,06,2,17661,1
870,06_2,06,2,17805,1
871,06_2,06,2,18210,1
872,06_2,06,2,18971,1
873,06_2,06,2,19341,1
874,06_2,06,2,19754,1
875,06_2,06,2,19849,1
876,06_2,06,2,20079,1
877,06_2,06,2,20299,1
878,06_2,06,2,20535,1
879,06_2,06,2,20761,1
880,06_2,06,2,21401,1
881,06_2,06,2,21783,1
882,06_2,06,2,21935,1
883,06_2,06,2,24830,1
884,06_2,06,2,25026,1
885,06_2,06,2,25271,1
886,06_2,06,2,25415,1
887,06_2,06,2,25648,1
888,06_2,06,2,26482,1
889,06_2,06,2,26602,1
890,06_2,06,2,26885,1
891,06_2,06,2,27144,1
892,06_2,06,2,27505,1
893,06_2,06,2,30826,1
894,06_2,06,2,30897,1
895,06_2,06,2,30952,1
896,06_2,06,2,31293,1
897,06_2,06,2,31516,1
898,06_2,06,2,31713,1
899,06_2,06,2,31872,1
900,06_2,06,2,32021,1
901,06_2,06,2,32121,1
902,06_2,06,2,32319,1
903,06_2,06,2,32481,1
904,06_2,06,2,32662,1
905,06_2,06,2,32723,1
906,06_2,06,2,32792,1
907,06_2,06,2,33037,1
908,06_2,06,2,33217,1
909,06_2,06,2,33340,1
910,06_2,06,2,33459,1
911,06_2,06,2,33641,1
912,06_2,06,2,33995,1
913,06_3,06,3,-158,1
914,06_3,06,3,440,1
915,06_3,06,3,901,1
916,06_3,06,3,1580,1
917,06_3,06,3,1673,1
918,06_3,06,3,1902,1
919,06_3,06,3,2072,1
920,06_3,06,3,2606,1
921,06_3,06,3,2945,1
922,06_3,06,3,3017,1
923,06_3,06,3,3444,1
924,06_3,06,3,3883,1
925,06_3,06,3,4173,1
926,06_3,06,3,4375,1
927,06_3,06,3,4804,1
928,06_3,06,3,4976,1
929,06_3,06,3,5263,1
930,06_3,06,3,5557,1
